word1,word2,n
swc_1_f,swc_1_gf,23
swc_1_gf,swc_2,23
swc_2,swc_2_f,23
swc_2_f,swc_2_gf,23
swc_2_gf,tsoil_1,23
sync_f_tot,agc_avg,23
t_spike,irga_error,23
t_stationarity,sdv,23
ta,ta_f,23
ta_1,ta_1_f,23
ta_1_f,ta_1_gf,23
ta_1_gf,pa_1,23
ta_gf,vp,23
tau,le,23
tau_c,h_c,23
tpanel,n_tot,23
tsoil_1,tsoil_1_f,23
tsoil_1_gf,tsoil_2,23
tsoil_2,tsoil_2_f,23
tsoil_2_f,tsoil_2_gf,23
tsoil_2_gf,tsurf,23
tsurf,tsurf_f,23
tsurf_f,tsurf_gf,23
tsurf_gf,ws_1,23
u_spike,v_spike,23
uw,tau,23
uw_c,tau_c,23
uw_freqr,h_freqresp,23
v_spike,w_spike,23
vp,vp_f,23
vp_1,vp_1_f,23
vp_1_f,vp_1_gf,23
vp_1_gf,vpd,23
vp_f,vp_gf,23
vp_gf,co2,23
vpd,vpd_f,23
vpd_gf,rh,23
w_spike,t_spike,23
wd,wd_f,23
wd_1,wd_1_f,23
wd_1_f,wd_1_gf,23
wd_1_gf,solar_elevation,23
wd_f,wd_gf,23
wd_gf,ta,23
wpl_fc,fc_cw,23
wpl_le,le_cw,23
ws,ws_f,23
ws_1,ws_1_f,23
ws_1_f,wd_1,23
ws_f,ws_gf,23
ws_gf,wd,23
zol,uw_freqr,23
mole,fraction,22
aux_1,aux_2,21
aux_2,aux_3,21
aux_3,aux_4,21
aux_4,aux_5,21
aux_5,aux_6,21
billion,ppb,21
fc_cwbu_gf,aux_1,21
ppb,source,21
dissolved,organic,18
lake,depth,18
soil,temperature,18
air,temperature,17
depth,lake,17
ice,core,17
sami,ph,17
fraction,time,16
ozone,mole,16
station,sampling,16
time,ozone,16
acetylene,mixing,15
alt,record,15
avg_cloudfraction,short,15
avg_iceeffectiveradius,float,15
avg_liqeffectiveradius,float,15
avg_retrieved_iwc,float,15
avg_retrieved_lwc,float,15
base,time,15
cloudphasemask,short,15
cloudretrievalmask,short,15
double,time,15
ethane,mixing,15
float,alt,15
float,avg_cloudfraction,15
float,avg_iceeffectiveradius,15
float,avg_liqeffectiveradius,15
float,avg_retrieved_iwc,15
float,avg_retrieved_lwc,15
float,heights,15
float,lat,15
gas,age,15
heights,float,15
instruments,float,15
integer,base,15
lat,record,15
offset,float,15
pressure,transducer,15
short,cloudphasemask,15
short,cloudretrievalmask,15
short,instruments,15
temperature,conductivity,15
time,double,15
time,height,15
time,offset,15
water,content,15
agc,co2,14
albedo_f,ws_1,14
co2,albedo_f,14
doy,hour,14
e_0,r_ref,14
fc,fc_freqr,14
fc_cw,qc_fc_cw,14
fc_cwu_f,fc_cwu_gf,14
fc_cwu_gf,qc_fc_cwu_gf,14
fc_freqr,rg_f,14
fp_neenight,fp_temp,14
fp_temp,e_0,14
g1_f,g2_f,14
g2_f,g3_f,14
g3_f,g4_f,14
gpp,gpp_f,14
h_c_f,qc_h_c_f,14
h_c_gf,qc_h_c_gf,14
h_freqr,le,14
hour,fc_cw,14
le,le_freqr,14
le_cw_f,qc_le_cw_f,14
le_cw_gf,qc_le_cw_gf,14
le_freqr,fc,14
pa_1,rg_out_f,14
par_f,par_out_f,14
par_out_f,precip,14
photosynthetically,active,14
potrad,fp_neenight,14
qc_fc_cw,fc_cwu_f,14
qc_h_c_f,h_c_gf,14
qc_h_c_gf,ust,14
qc_le_cw_f,le_cw_gf,14
qc_le_cw_gf,h_c_f,14
qc_rg_gf,vpd_f,14
qc_rh_gf,ta_f,14
qc_tau_c,tau,14
qc_vpd_gf,rh_f,14
r_ref,reco,14
reco,reco_f,14
reco_f,gpp,14
rg_gf,qc_rg_gf,14
rh_gf,qc_rh_gf,14
rnet_f,par_f,14
salinity,pressure,14
swc_1_f,swc_2_f,14
ta_gf,qc_ta_gf,14
tau,tau_freqr,14
tau_c,qc_tau_c,14
vpd_gf,qc_vpd_gf,14
water,equivalent,14
ws_1,wd,14
core,depth,13
fc_cwbnegu_f,fc_cwbnegu_gf,13
fc_cwbnegu_gf,qc_fc_cwbnegu_gf,13
precip,snowd_f,13
radiation,air,13
radiation,net,13
