word1,word2,n,unique_ids,unique_authors
tpanel,n_tot,23,23,2
tsoil_1,tsoil_1_f,23,23,2
tsoil_1_gf,tsoil_2,23,23,2
tsoil_2,tsoil_2_f,23,23,2
tsoil_2_f,tsoil_2_gf,23,23,2
tsoil_2_gf,tsurf,23,23,2
tsurf,tsurf_f,23,23,2
tsurf_f,tsurf_gf,23,23,2
tsurf_gf,ws_1,23,23,2
u_spike,v_spike,23,23,2
uw,tau,23,23,2
uw_c,tau_c,23,23,2
uw_freqr,h_freqresp,23,23,2
v_spike,w_spike,23,23,2
vp,vp_f,23,23,2
vp_1,vp_1_f,23,23,2
vp_1_f,vp_1_gf,23,23,2
vp_1_gf,vpd,23,23,2
vp_f,vp_gf,23,23,2
vp_gf,co2,23,23,2
vpd,vpd_f,23,23,2
vpd_gf,rh,23,23,2
w_spike,t_spike,23,23,2
wd,wd_f,23,23,2
wd_1,wd_1_f,23,23,2
wd_1_f,wd_1_gf,23,23,2
wd_1_gf,solar_elevation,23,23,2
wd_f,wd_gf,23,23,2
wd_gf,ta,23,23,2
wpl_fc,fc_cw,23,23,2
wpl_le,le_cw,23,23,2
ws,ws_f,23,23,2
ws_1,ws_1_f,23,23,2
ws_1_f,wd_1,23,23,2
ws_f,ws_gf,23,23,2
ws_gf,wd,23,23,2
zol,uw_freqr,23,23,2
mole,fraction,22,1,1
aux_1,aux_2,21,21,2
aux_2,aux_3,21,21,2
aux_3,aux_4,21,21,2
aux_4,aux_5,21,21,2
aux_5,aux_6,21,21,2
billion,ppb,21,1,1
fc_cwbu_gf,aux_1,21,21,2
ppb,source,21,1,1
dissolved,organic,18,6,5
lake,depth,18,1,1
soil,temperature,18,7,5
air,temperature,17,16,5
depth,lake,17,1,1
ice,core,17,4,4
sami,ph,17,2,1
fraction,time,16,1,1
ozone,mole,16,1,1
station,sampling,16,7,1
time,ozone,16,1,1
acetylene,mixing,15,1,1
alt,record,15,15,1
avg_cloudfraction,short,15,15,1
avg_iceeffectiveradius,float,15,15,1
avg_liqeffectiveradius,float,15,15,1
avg_retrieved_iwc,float,15,15,1
avg_retrieved_lwc,float,15,15,1
base,time,15,15,1
cloudphasemask,short,15,15,1
cloudretrievalmask,short,15,15,1
double,time,15,15,1
ethane,mixing,15,1,1
float,alt,15,15,1
float,avg_cloudfraction,15,15,1
float,avg_iceeffectiveradius,15,15,1
float,avg_liqeffectiveradius,15,15,1
float,avg_retrieved_iwc,15,15,1
float,avg_retrieved_lwc,15,15,1
float,heights,15,15,1
float,lat,15,15,1
gas,age,15,1,1
heights,float,15,15,1
instruments,float,15,15,1
integer,base,15,15,1
lat,record,15,15,1
offset,float,15,15,1
pressure,transducer,15,1,1
