identifier,author,word1,word2,word3
arctic-data.14372.3,Anna Liljedahl,2013,2016,NA
arctic-data.14423.1,Anna Liljedahl,numerical,simulations,NA
arctic-data.14423.1,Anna Liljedahl,simulations,of,NA
arctic-data.14423.1,Anna Liljedahl,of,hydrology,NA
arctic-data.14423.1,Anna Liljedahl,hydrology,permafrost,NA
arctic-data.14423.1,Anna Liljedahl,permafrost,and,NA
arctic-data.14423.1,Anna Liljedahl,and,glaciers,NA
arctic-data.14423.1,Anna Liljedahl,glaciers,in,NA
arctic-data.14423.1,Anna Liljedahl,in,the,NA
arctic-data.14423.1,Anna Liljedahl,the,jarvis,NA
arctic-data.14423.1,Anna Liljedahl,jarvis,creek,NA
arctic-data.14423.1,Anna Liljedahl,creek,watershed,NA
arctic-data.14423.1,Anna Liljedahl,watershed,interior,NA
arctic-data.14423.1,Anna Liljedahl,interior,alaska,NA
arctic-data.14423.1,Anna Liljedahl,alaska,1991,NA
arctic-data.14423.1,Anna Liljedahl,1991,2100,NA
arctic-data.14669.1,Laurel Lynch,data,set,NA
arctic-data.14669.1,Laurel Lynch,set,for,NA
arctic-data.14669.1,Laurel Lynch,for,tracking,NA
arctic-data.14669.1,Laurel Lynch,tracking,the,NA
arctic-data.14669.1,Laurel Lynch,the,fate,NA
arctic-data.14669.1,Laurel Lynch,fate,of,NA
arctic-data.14669.1,Laurel Lynch,of,fresh,NA
arctic-data.14669.1,Laurel Lynch,fresh,carbon,NA
arctic-data.14669.1,Laurel Lynch,carbon,in,NA
arctic-data.14669.1,Laurel Lynch,in,the,NA
arctic-data.14669.1,Laurel Lynch,the,arctic,NA
arctic-data.14669.1,Laurel Lynch,arctic,tundra,NA
arctic-data.14669.1,Laurel Lynch,tundra,will,NA
arctic-data.14669.1,Laurel Lynch,will,shrub,NA
arctic-data.14669.1,Laurel Lynch,shrub,expansion,NA
arctic-data.14669.1,Laurel Lynch,expansion,alter,NA
arctic-data.14669.1,Laurel Lynch,alter,responses,NA
arctic-data.14669.1,Laurel Lynch,responses,of,NA
arctic-data.14669.1,Laurel Lynch,of,soil,NA
arctic-data.14669.1,Laurel Lynch,soil,organic,NA
arctic-data.14669.1,Laurel Lynch,organic,matter,NA
arctic-data.14669.1,Laurel Lynch,matter,to,NA
arctic-data.14669.1,Laurel Lynch,to,warming,NA
arctic-data.14730.2,Jeremy May,toolik,seasons,NA
arctic-data.14730.2,Jeremy May,seasons,plot,NA
arctic-data.14730.2,Jeremy May,plot,thaw,NA
arctic-data.14730.2,Jeremy May,thaw,depth,NA
arctic-data.14730.2,Jeremy May,depth,ndvi,NA
arctic-data.14730.2,Jeremy May,ndvi,and,NA
arctic-data.14730.2,Jeremy May,and,phenology,NA
arctic-data.14730.2,Jeremy May,phenology,2017,NA
arctic-data.14815.1,LEI CAI,dynamical,downscaling,NA
arctic-data.14815.1,LEI CAI,downscaling,data,NA
arctic-data.14815.1,LEI CAI,data,at,NA
arctic-data.14815.1,LEI CAI,at,major,NA
arctic-data.14815.1,LEI CAI,major,observational,NA
arctic-data.14815.1,LEI CAI,observational,sites,NA
arctic-data.14815.1,LEI CAI,sites,on,NA
arctic-data.14815.1,LEI CAI,on,the,NA
arctic-data.14815.1,LEI CAI,the,north,NA
arctic-data.14815.1,LEI CAI,north,slope,NA
arctic-data.14815.1,LEI CAI,slope,of,NA
arctic-data.14815.1,LEI CAI,of,alaksa,NA
autogen.2016032220473125154.3,T.A. Douglas,chemical,weathering,NA
autogen.2016032220473125154.3,T.A. Douglas,weathering,and,NA
autogen.2016032220473125154.3,T.A. Douglas,and,organic,NA
autogen.2016032220473125154.3,T.A. Douglas,organic,carbon,NA
autogen.2016032220473125154.3,T.A. Douglas,carbon,geochemistry,NA
autogen.2016032220473125154.3,T.A. Douglas,geochemistry,of,NA
autogen.2016032220473125154.3,T.A. Douglas,of,six,NA
autogen.2016032220473125154.3,T.A. Douglas,six,arctic,NA
autogen.2016032220473125154.3,T.A. Douglas,arctic,watersheds,NA
autogen.2016032220473125154.3,T.A. Douglas,watersheds,north,NA
autogen.2016032220473125154.3,T.A. Douglas,north,slope,NA
autogen.2016032220473125154.3,T.A. Douglas,slope,alaska,NA
autogen.2016032220473125154.3,T.A. Douglas,alaska,2009,NA
autogen.2016032220473125154.3,T.A. Douglas,2009,2010,NA
autogen.2016032220541012460.5,David Sayres,NA,NA,NA
autogen.2016032221252482863.7,Matthew Alkire,collaborative,research,NA
autogen.2016032221252482863.7,Matthew Alkire,research,assessing,NA
autogen.2016032221252482863.7,Matthew Alkire,assessing,the,NA
autogen.2016032221252482863.7,Matthew Alkire,the,impact,NA
autogen.2016032221252482863.7,Matthew Alkire,impact,of,NA
autogen.2016032221252482863.7,Matthew Alkire,of,small,NA
autogen.2016032221252482863.7,Matthew Alkire,small,canadian,NA
autogen.2016032221252482863.7,Matthew Alkire,canadian,arctic,NA
autogen.2016032221252482863.7,Matthew Alkire,arctic,river,NA
autogen.2016032221252482863.7,Matthew Alkire,river,flows,NA
autogen.2016032221252482863.7,Matthew Alkire,flows,scarfs,NA
autogen.2016032221252482863.7,Matthew Alkire,scarfs,to,NA
autogen.2016032221252482863.7,Matthew Alkire,to,the,NA
autogen.2016032221252482863.7,Matthew Alkire,the,freshwater,NA
autogen.2016032221252482863.7,Matthew Alkire,freshwater,budget,NA
autogen.2016032221252482863.7,Matthew Alkire,budget,of,NA
autogen.2016032221252482863.7,Matthew Alkire,of,the,NA
autogen.2016032221252482863.7,Matthew Alkire,the,canadian,NA
autogen.2016032221252482863.7,Matthew Alkire,canadian,archipelago,NA
d9ad32dc-e716-4337-a15c-4055dbdf4a1c,Sarah Godsey,snow,density,NA
d9ad32dc-e716-4337-a15c-4055dbdf4a1c,Sarah Godsey,density,at,NA
d9ad32dc-e716-4337-a15c-4055dbdf4a1c,Sarah Godsey,at,water,NA
d9ad32dc-e716-4337-a15c-4055dbdf4a1c,Sarah Godsey,water,track,NA
d9ad32dc-e716-4337-a15c-4055dbdf4a1c,Sarah Godsey,track,sites,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,manual,thaw,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,thaw,depths,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,depths,at,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,at,water,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,water,track,NA
df52098f-4ed9-46ad-9fd4-2967c61747a0,Sarah Godsey,track,sites,NA
doi:10.18739/A2000001N,Andrew Juhl,collaborative,research,NA
doi:10.18739/A2000001N,Andrew Juhl,research,sinking,NA
doi:10.18739/A2000001N,Andrew Juhl,sinking,rates,NA
doi:10.18739/A2000001N,Andrew Juhl,rates,and,NA
doi:10.18739/A2000001N,Andrew Juhl,and,nutritional,NA
doi:10.18739/A2000001N,Andrew Juhl,nutritional,quality,NA
doi:10.18739/A2000001N,Andrew Juhl,quality,of,NA
doi:10.18739/A2000001N,Andrew Juhl,of,organic,NA
doi:10.18739/A2000001N,Andrew Juhl,organic,matter,NA
doi:10.18739/A2000001N,Andrew Juhl,matter,exported,NA
doi:10.18739/A2000001N,Andrew Juhl,exported,from,NA
doi:10.18739/A2000001N,Andrew Juhl,from,sea,NA
doi:10.18739/A2000001N,Andrew Juhl,sea,ice,NA
doi:10.18739/A2000001N,Andrew Juhl,ice,the,NA
doi:10.18739/A2000001N,Andrew Juhl,the,importance,NA
doi:10.18739/A2000001N,Andrew Juhl,importance,of,NA
doi:10.18739/A2000001N,Andrew Juhl,of,exopolymeric,NA
doi:10.18739/A2000001N,Andrew Juhl,exopolymeric,substances,NA
doi:10.18739/A20000024,Bob Dattore,nmc,global,NA
doi:10.18739/A20000024,Bob Dattore,global,tropospheric,NA
doi:10.18739/A20000024,Bob Dattore,tropospheric,analyses,NA
doi:10.18739/A20000024,Bob Dattore,analyses,tropopause,NA
doi:10.18739/A20000024,Bob Dattore,tropopause,subset,NA
doi:10.18739/A20000024,Bob Dattore,subset,daily,NA
doi:10.18739/A20000024,Bob Dattore,daily,1976,NA
doi:10.18739/A20000024,Bob Dattore,1976,july,NA
doi:10.18739/A20000024,Bob Dattore,july,continuing,NA
doi:10.18739/A20000081,Lee W. Cooper,nutrient,oxygen,NA
doi:10.18739/A20000081,Lee W. Cooper,oxygen,18,NA
doi:10.18739/A20000081,Lee W. Cooper,18,16,NA
doi:10.18739/A20000081,Lee W. Cooper,16,ratio,NA
doi:10.18739/A20000081,Lee W. Cooper,ratio,and,NA
doi:10.18739/A20000081,Lee W. Cooper,and,chlorophyll,NA
doi:10.18739/A20000081,Lee W. Cooper,chlorophyll,data,NA
doi:10.18739/A20000081,Lee W. Cooper,data,measured,NA
doi:10.18739/A20000081,Lee W. Cooper,measured,from,NA
doi:10.18739/A20000081,Lee W. Cooper,from,water,NA
doi:10.18739/A20000081,Lee W. Cooper,water,samples,NA
doi:10.18739/A20000081,Lee W. Cooper,samples,collected,NA
doi:10.18739/A20000081,Lee W. Cooper,collected,aboard,NA
doi:10.18739/A20000081,Lee W. Cooper,aboard,the,NA
doi:10.18739/A20000081,Lee W. Cooper,the,sir,NA
doi:10.18739/A20000081,Lee W. Cooper,sir,wilfred,NA
doi:10.18739/A20000081,Lee W. Cooper,wilfred,laurier,NA
doi:10.18739/A20000081,Lee W. Cooper,laurier,bering,NA
doi:10.18739/A20000081,Lee W. Cooper,bering,and,NA
doi:10.18739/A20000081,Lee W. Cooper,and,chukchi,NA
doi:10.18739/A20000081,Lee W. Cooper,chukchi,seas,NA
doi:10.18739/A20000081,Lee W. Cooper,seas,2015,NA
doi:10.18739/A2000009H,Chris Polashenski,snow,wind,NA
doi:10.18739/A2000009H,Chris Polashenski,wind,and,NA
doi:10.18739/A2000009H,Chris Polashenski,and,time,NA
doi:10.18739/A2000009H,Chris Polashenski,time,project,NA
doi:10.18739/A2000009H,Chris Polashenski,project,terrestrial,NA
doi:10.18739/A2000009H,Chris Polashenski,terrestrial,lidar,NA
doi:10.18739/A2000009H,Chris Polashenski,lidar,scanner,NA
doi:10.18739/A2000009H,Chris Polashenski,scanner,snow,NA
doi:10.18739/A2000009H,Chris Polashenski,snow,accumulation,NA
doi:10.18739/A2000009H,Chris Polashenski,accumulation,maps,NA
doi:10.18739/A2000009H,Chris Polashenski,maps,utqiagvik,NA
doi:10.18739/A2000009H,Chris Polashenski,utqiagvik,ak,NA
doi:10.18739/A2000009H,Chris Polashenski,ak,november,NA
doi:10.18739/A2000009H,Chris Polashenski,november,2016,NA
doi:10.18739/A2000009H,Chris Polashenski,2016,june,NA
doi:10.18739/A2000009H,Chris Polashenski,june,2017,NA
doi:10.18739/A2000010M,Richard Krishfield,beaufort,gyre,NA
doi:10.18739/A2000010M,Richard Krishfield,gyre,exploration,NA
doi:10.18739/A2000010M,Richard Krishfield,exploration,project,NA
doi:10.18739/A2000010M,Richard Krishfield,project,mooring,NA
doi:10.18739/A2000010M,Richard Krishfield,mooring,d,NA
doi:10.18739/A2000010M,Richard Krishfield,d,2014,NA
doi:10.18739/A2000010M,Richard Krishfield,2014,2015,NA
doi:10.18739/A20000113,Bob Hawley,rogue,borehole,NA
doi:10.18739/A20000113,Bob Hawley,borehole,televiewer,NA
doi:10.18739/A20000113,Bob Hawley,televiewer,data,NA
doi:10.18739/A2000012K,Matthew Shupe,precipitation,occurrence,NA
doi:10.18739/A2000012K,Matthew Shupe,occurrence,sensor,NA
doi:10.18739/A2000012K,Matthew Shupe,sensor,system,NA
doi:10.18739/A2000012K,Matthew Shupe,system,measurements,NA
doi:10.18739/A2000012K,Matthew Shupe,measurements,taken,NA
doi:10.18739/A2000012K,Matthew Shupe,taken,at,NA
doi:10.18739/A2000012K,Matthew Shupe,at,summit,NA
doi:10.18739/A2000012K,Matthew Shupe,summit,station,NA
doi:10.18739/A2000012K,Matthew Shupe,station,greenland,NA
doi:10.18739/A2000012K,Matthew Shupe,greenland,2017,NA
doi:10.18739/A20000132,Matthew Shupe,cloud,microphysical,NA
doi:10.18739/A20000132,Matthew Shupe,microphysical,properties,NA
doi:10.18739/A20000132,Matthew Shupe,properties,at,NA
doi:10.18739/A20000132,Matthew Shupe,at,arctic,NA
doi:10.18739/A20000132,Matthew Shupe,arctic,atmospheric,NA
doi:10.18739/A20000132,Matthew Shupe,atmospheric,observatories,NA
doi:10.18739/A20000132,Matthew Shupe,observatories,barrow,NA
doi:10.18739/A20000132,Matthew Shupe,barrow,alaska,NA
