"word1","word2","word3","n"
"instruments","corers","sediment",67
"field","station","alaska",66
"arctic","biota","oceans",65
"corers","coring","devices",65
"field","survey","grid",65
"instruments","corers","coring",65
"layer","earth","science",65
"cover","earth","remote",64
"probes","field","survey",64
"atmosphere","atmospheric","winds",63
"ice","snow","ice",63
"land","character","arctic",63
"probes","probes","field",63
"station","alaska","arctic",63
"alaska","arctic","toolikgis",62
"arctic","toolikgis","bathymetry",62
"bathymetric","data","toolik",62
"bathymetry","hypsography","lake",62
"data","toolik","toolik",62
"hypsography","lake","data",62
"toolik","toolik","field",62
"toolikgis","bathymetry","hypsography",62
"grabbers","traps","collectors",61
"instruments","samplers","grabbers",61
"samplers","grabbers","traps",61
"instruments","pressure","height",60
"laboratory","instruments","pressure",60
"pressure","height","meters",60
"sea","ice","ice",60
"instruments","conductivity","sensors",59
"laboratory","instruments","conductivity",59
"meters","current","meters",59
"sedimentation","earth","science",59
"wind","meters","current",59
"conductivity","sensors","conductivity",58
"sensors","conductivity","meters",58
"dynamics","ecosystem","functions",57
"ecological","dynamics","ecosystem",57
"lake","records","sediments",57
"atmosphere","atmospheric","water",56
"atmospheric","water","vapor",56
"degradation","earth","science",56
"ice","lake","ice",56
"image","1","meter",56
"lake","ice","earth",56
"ocean","cast","ship",56
"snow","ice","lake",56
"erosion","sedimentation","degradation",55
"erosion","sedimentation","sediment",55
"instruments","probes","steel",55
"probes","steel","measuring",55
"sedimentation","degradation","earth",55
"sedimentation","sediment","transport",55
"steel","measuring","tape",55
"collectors","sediment","traps",54
"erosion","sedimentation","sedimentation",54
"sedimentation","sedimentation","earth",54
"traps","collectors","sediment",54
"atmosphere","atmospheric","temperature",53
"deposits","earth","science",53
"erosion","sedimentation","sediments",53
"sedimentation","sediments","earth",53
"100","meters","monthly",52
"cameras","automated","surface",52
"cameras","cameras","automated",52
"entrainment","earth","science",52
"erosion","sedimentation","entrainment",52
"erosion","sedimentation","suspended",52
"field","station","hourly",52
"lake","records","varve",52
"manned","permanent","station",52
"observing","system","image",52
"records","varve","deposits",52
"sedimentation","entrainment","earth",52
"sedimentation","suspended","solids",52
"system","image","1",52
"vapor","humidity","earth",52
"varve","deposits","earth",52
"water","vapor","humidity",52
"current","meters","manned",51
"humidity","earth","science",51
"meters","manned","field",51
"1","hour","climatologymeteorologyatmosphere",50
"arctic","ancillary","info",50
"atmosphere","atmospheric","radiation",50
"cameras","earth","remote",50
"permafrost","earth","science",50
"tundra","earth","remote",49
"cameras","cameras","earth",48
"moisture","water","content",48
"soil","moisture","water",48
"conductivity","earth","science",47
"cover","earth","science",47
"instruments","photon","optical",47
"laboratory","instruments","photon",47
"landscape","landscape","ecology",47
"probe","field","survey",47
"earth","science","solid",46
"instruments","spectrometers","radiometers",46
"laboratory","instruments","spectrometers",46
"science","solid","earth",46
"soils","soil","moisture",46
"climate","indicators","paleoclimate",45
"earth","science","agriculture",45
"ice","temperature","earth",45
"indicators","paleoclimate","indicators",45
"oceanography","arctic","biota",45
"oceans","sea","ice",45
"profile","1","meter",45
"science","oceans","sea",45
"vertical","profile","1",45
"gauges","stream","gauges",44
"instruments","gauges","stream",44
"land","surface","land",44
"ship","arctic","surface",44
"survey","transect","30",44
"oceanography","arctic","climatologymeteorologyatmosphere",43
"snow","ice","temperature",43
"active","layer","earth",42
"cast","ship","oceanography",42
"field","survey","manned",42
"fresh","water","flux",42
"grid","500","meters",42
"circulation","fresh","water",41
"models","analyses","arctic",41
"ocean","circulation","fresh",41
"surface","temperature","earth",41
"mooring","vertical","profile",40
"survey","manned","field",40
"acoustic","doppler","current",39
"ambient","noise","hydrophone",39
"automatic","remote","weather",39
"biota","oceans","environment",39
"daily","1","minute",39
"doppler","current","profiler",39
"glaciers","earth","remote",39
"land","surface","landscape",39
"noise","hydrophone","mooring",39
"ocean","circulation","ocean",39
"remote","weather","station",39
"surface","landscape","landscape",39
"acoustic","sounders","adcp",38
"adcp","acoustic","doppler",38
"land","surface","temperature",38
"marine","sediments","sediment",38
"noaa","avhrr","imagery",38
"profilers","sounders","temperature",38
"satellite","noaa","avhrr",38
"sounders","adcp","acoustic",38
"sounders","temperature","profilers",38
"spectrometers","radiometers","spectroradiometers",38
"turbidity","earth","science",38
"1","hour","oceans",37
"energy","balance","micrometeorology",37
"ground","permafrost","earth",37
"land","temperature","land",37
"net","ecosystem","exchange",37
"ocean","mixed","layer",37
"radiometers","spectroradiometers","spectroradiometers",37
"surface","land","temperature",37
"aquatic","ecosystems","plankton",36
"avhrr","imagery","arctic",36
"imagery","arctic","satellite",36
"instruments","sensors","ek80",36
"positioning","system","earth",36
"science","atmosphere","clouds",36
"sensors","ek80","broadband",36
"system","earth","remote",36
"temperature","land","surface",36
"vertebrates","mammals","carnivores",36
"weekly","1","minute",36
"depth","sounder","echogram",35
"echogram","ice","thickness",35
"gauges","earth","remote",35
"ice","snow","melt",35
"marine","sediments","turbidity",35
"radar","depth","sounder",35
"sea","lions","walruses",35
"seals","sea","lions",35
"sediments","turbidity","earth",35
"sounder","echogram","ice",35
"acoustic","sounders","echo",34
"ambient","noise","earth",34
"atmosphere","clouds","cloud",34
"carnivores","seals","sea",34
"conductivity","meters","earth",34
"field","station","inlandwaters",34
"inlandwaters","oceans","environment",34
"lake","levels","earth",34
"lake","records","lake",34
"levels","earth","science",34
"mammals","carnivores","seals",34
"meters","earth","remote",34
"oceans","environment","climatologymeteorologyatmosphere",34
"records","lake","levels",34
"sediments","sediment","transport",34
"sounders","echo","sounders",34
"spectrometers","field","survey",34
"stream","gauges","earth",34
"1","hour","monthly",33
"100","meters","annual",33
"air","temperature","earth",33
"annual","1","minute",33
"cetaceans","earth","science",33
"geomorphic","landforms","processes",33
"mammals","cetaceans","earth",33
"meters","1","minute",33
"monthly","inlandwaters","oceans",33
"noise","earth","science",33
"vertebrates","mammals","cetaceans",33
"weekly","annual","1",33
"buoy","vertical","profile",32
"deep","sonar","arctic",32
"drifting","buoy","vertical",32
"ecosystem","exchange","eddy",32
"eddy","covariance","carbon",32
"exchange","eddy","covariance",32
"meters","annual","biota",32
"profilers","sounders","profilers",32
"salinity","density","conductivity",32
"atmospheric","ocean","indicators",31
"atmospheric","winds","convergence",31
"climate","indicators","atmospheric",31
"convergence","divergence","earth",31
"covariance","carbon","fluxes",31
"divergence","earth","science",31
"indicators","atmospheric","ocean",31
"salinity","density","salinity",31
"winds","convergence","divergence",31
"arctic","climatologymeteorologyatmosphere","oceans",30
"bottles","flasks","jars",30
"earth","science","services",30
"instruments","samplers","bottles",30
"oceans","ocean","optics",30
"samplers","bottles","flasks",30
"ship","arctic","oceanography",30
"arctic","models","analyses",29
"carbon","fluxes","aon",29
"cast","oceanography","arctic",29
"chemistry","earth","science",29
"density","conductivity","earth",29
"depth","drifting","buoy",29
"earth","geomorphic","landforms",29
"frozen","ground","ground",29
"grid","30","meters",29
"ground","ground","ice",29
"ground","ice","earth",29
"ice","depth","thickness",29
"ocean","cast","oceanography",29
"sensors","earth","remote",29
"solid","earth","geomorphic",29
"temperature","depth","drifting",29
"water","chemistry","water",29
"analysis","arctic","ancillary",28
"cameras","cameras","kite",28
"field","station","station",28
"humidity","sensors","humidity",28
"ice","ice","depth",28
"remote","sensing","thermal",28
"sensing","thermal","radiation",28
"sensors","humidity","sensors",28
"soils","soil","temperature",28
"thermal","radiation","detectors",28
"climate","indicators","cryospheric",27
"dimensions","human","settlements",27
"gts","surface","platforms",27
"height","meters","pressure",27
"human","dimensions","human",27
"human","dimensions","population",27
"indicators","cryospheric","indicators",27
"moisture","probe","field",27
"nutrients","earth","science",27
"platforms","arctic","surface",27
"radiometers","mass","spectrometers",27
"seawater","sampling","arctic",27
"spectrometers","radiometers","mass",27
"spectrometers","spectrometers","field",27
"surface","platforms","arctic",27
"temperature","depth","ship",27
"1","kilometer","annual",26
"1","meter","1",26
"analyzers","co2","analyzers",26
"conductance","earth","science",26
"depth","thickness","earth",26
"field","survey","unknown",26
"height","meters","barometers",26
"limnology","dissolved","oxygen",26
